Specimen,Mean FITC-A,Mean PE-A,Design,Guide
Specimen_005_E6_E06_026.fcs,638.2092896,983.4503784,pTG123(3),2
Specimen_005_E7_E07_027.fcs,897.8881226,993.5387573,pTG123(4) ,2
Specimen_005_E8_E08_028.fcs,645.1740112,959.2857666,pTG123(9) ,2
Specimen_005_F2_F02_029.fcs,581.4319458,886.6663208,pTG123(6) ,1
Specimen_005_F3_F03_030.fcs,464.9216614,745.0101929,pTG123(7) ,1
Specimen_005_F4_F04_031.fcs,612.8099976,925.6886597,pTG123(8) ,1
Specimen_005_F5_F05_032.fcs,551.9688721,862.7476196,pTG123(2) ,2
Specimen_005_F6_F06_033.fcs,530.6349487,857.8152466,pTG123(3),2
Specimen_005_F7_F07_034.fcs,769.1942139,893.5784302,pTG123(4) ,2
Specimen_005_F8_F08_035.fcs,631.3771362,934.6234131,pTG123(9) ,2
Specimen_003_B2_B02_001.fcs,548.4281006,852.6849976,Guide 1 WT backbone,1
Specimen_003_B3_B03_002.fcs,511.4172058,819.487854,Guide 2 WT backbone,2
Specimen_003_B4_B04_003.fcs,494.8807373,809.0274658,eCrimson,0
Specimen_003_B5_B05_004.fcs,5.901795387,102.8156204,eCrimson (uninduced),0
Specimen_003_B6_B06_005.fcs,473.9625854,768.526001,pTG123(2) ,1
Specimen_003_B7_B07_006.fcs,605.5465088,876.5368042,pTG123(3),1
Specimen_003_B8_B08_007.fcs,536.7286987,919.1201782,pTG123(4) ,1
Specimen_003_C2_C02_008.fcs,555.2585449,842.9422607,Guide 1 WT backbone,1
Specimen_003_C3_C03_009.fcs,467.7046204,728.5484619,Guide 2 WT backbone,2
Specimen_003_C4_C04_010.fcs,468.9067078,759.7797241,eCrimson,0
Specimen_003_C5_C05_011.fcs,7.565341473,105.9083557,eCrimson (uninduced),0
Specimen_003_C6_C06_012.fcs,483.7764282,766.3134766,pTG123(2) ,1
Specimen_003_C7_C07_013.fcs,578.5778809,817.3145142,pTG123(3),1
Specimen_003_C8_C08_014.fcs,525.4684448,880.28479,pTG123(4) ,1
Specimen_003_D2_D02_015.fcs,532.9807739,786.586731,Guide 1 WT backbone,1
Specimen_003_D3_D03_016.fcs,461.0627441,718.6012573,Guide 2 WT backbone,2
Specimen_003_D4_D04_017.fcs,443.4362793,727.4682617,eCrimson,0
Specimen_003_D5_D05_018.fcs,6.89531517,107.7360229,eCrimson (uninduced),0
Specimen_003_E2_E02_019.fcs,590.3303223,862.0620117,pTG123(6) ,1
Specimen_003_E3_E03_020.fcs,496.7148438,792.5291748,pTG123(7) ,1
Specimen_003_E4_E04_021.fcs,616.3284912,929.4205322,pTG123(8) ,1
Specimen_003_E5_E05_022.fcs,571.6289063,893.3872681,pTG123(2) ,2
Specimen_004_D6_D06_023.fcs,NaN,NaN,pTG123(2) ,1
Specimen_005_D7_D07_024.fcs,426.0282593,621.3188477,pTG123(3),1
Specimen_005_D8_D08_025.fcs,526.5862427,872.5820923,pTG123(4) ,1
Specimen_005_G5_G05_039.fcs,567.7677612,886.6538696,pTG123(2) ,2
Specimen_005_G6_G06_040.fcs,537.9179688,874.87323,pTG123(3),2
Specimen_005_G8_G08_007.fcs,661.8807373,935.2081909,pTG123(9) ,2
Specimen_005_G3_G03_037.fcs,458.4346924,724.791748,pTG123(7) ,1
Specimen_005_G4_G04_038.fcs,600.1143188,900.1748657,pTG123(8) ,1
